Date,AMZN,RIOT,TSLA,SPCE,GME,AMC,BBBY,BB,SNAP,NFLX,NVDA,AMD,SPOT,MSTR,SQ,ROKU,ZM,SHOP,GOOG
6/23/2021,175.1909943,32.47999954,218.8566742,40.81999969,54.83499908,58.29999924,29.30999947,13.14000034,66.34999847,512.7399902,190.3862762,83.81999969,256.7000122,553,238.6999969,421.7000122,376.9200134,150.0529938,126.4615021
6/24/2021,172.4539948,34.02000046,226.6066742,40.25999832,53.07749939,56.70000076,30.25,12.68000031,67.65000153,518.0599976,191.8673248,86.09999847,264.1600037,581.8800049,244.1499939,423.5799866,373.3999939,147.8990021,127.2819977
6/25/2021,170.072998,32.97000122,223.956665,55.90999985,52.37749863,54.06000137,28.93000031,12.11999989,67.66999817,527.0700073,190.1240234,85.62000275,266.3800049,550.0499878,239.9400024,430.9400024,372.4700012,147.3540039,126.9950027
6/28/2021,172.1945038,36.18000031,229.5733337,54.84000015,53.3125,58.11000061,30.65999985,12.80000019,66.22000122,533.0300293,199.6547241,87.08000183,271.5599976,624.1699829,246.6000061,440.3299866,388.8599854,149.4989929,126.8195038
6/29/2021,172.4069977,37.81000137,226.9199982,47.02000046,52.72000122,56.43000031,29.90999985,12.23999977,67.56999969,533.5,200.0718079,89.51999664,272.8599854,668.9899902,248.8699951,440.480011,394.730011,148.298996,126.0185013
6/30/2021,172.0079956,37.66999817,226.5666656,46,53.53499985,56.68000031,33.29000092,12.22000027,68.13999939,528.210022,199.8295288,93.93000031,275.5899963,664.5,243.8000031,459.25,387.0299988,146.0980072,125.3160019
7/1/2021,171.6484985,36.20999908,225.9733276,43.18999863,51.09000015,54.22000122,32.63999939,12.17000008,67.66000366,533.539978,201.9225006,93.30999756,268.6300049,650.8599854,241.8500061,435.6700134,386.480011,145.8000031,126.3684998
7/2/2021,175.548996,36.22999954,226.3000031,44.93999863,50.70750046,51.95999908,31.29999924,11.98999977,68.48999786,533.9799805,204.6697998,94.69999695,267.8299866,635.6099854,241.0800018,430.3200073,388.8900146,146.4750061,128.7189941
7/6/2021,183.7870026,35.43000031,219.8600006,46.31000137,49.88999939,49.95999908,30.28000069,12.06999969,69.05999756,541.6400146,206.7827454,94.47000122,263.519989,634.289978,246.6999969,435.1799927,401.1199951,153.8029938,129.7709961
7/7/2021,184.8289948,35.43999863,214.8833313,44.91999817,47.66500092,45.06999969,28.85000038,11.43999958,65.12999725,535.960022,203.5184479,90.54000092,259.0400085,639.8599854,244.6399994,419.0100098,393.9100037,152.0220032,130.0774994
